REGION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
INDIA,1901,34.70,37.70,18.00,39.30,50.80,113.40,242.20,272.90,124.40,52.70,38.00,8.30,1032.30,72.40,108.10,752.80,99.00
INDIA,1902,7.40,4.30,19.00,43.50,48.30,108.80,284.00,199.70,201.50,61.50,27.90,24.40,1030.20,11.70,110.80,794.00,113.80
INDIA,1903,17.00,8.30,31.30,17.10,59.50,118.30,297.00,270.40,199.10,117.90,36.90,17.70,1190.50,25.30,107.90,884.80,172.50
INDIA,1904,14.40,9.60,31.80,33.10,72.40,164.80,261.00,206.40,129.60,69.00,11.20,16.30,1019.80,24.00,137.40,761.80,96.60
INDIA,1905,25.30,20.90,42.70,33.70,55.70,93.30,252.80,200.80,178.40,51.40,9.70,10.50,975.30,46.20,132.20,725.40,71.60
INDIA,1906,21.20,50.80,31.70,16.10,36.70,177.10,285.40,251.10,182.70,49.60,17.80,23.90,1144.10,72.00,84.50,896.30,91.30
INDIA,1907,16.20,46.00,37.80,62.80,32.60,154.40,225.40,310.40,96.90,22.70,22.50,12.10,1039.70,62.10,133.10,787.10,57.30
INDIA,1908,21.80,17.80,8.70,33.30,45.40,126.40,327.20,312.80,150.50,37.50,6.50,8.70,1096.60,39.60,87.40,916.90,52.70
INDIA,1909,23.30,17.90,7.20,63.00,52.10,208.20,309.40,235.00,163.60,38.30,9.80,30.20,1158.10,41.30,122.30,916.20,78.30
INDIA,1910,15.60,11.10,13.80,29.20,41.50,213.50,250.30,289.80,186.80,107.40,35.00,6.40,1200.30,26.70,84.50,940.30,148.80
INDIA,1911,45.70,5.60,49.90,22.80,47.60,191.90,162.70,213.50,182.30,70.60,42.80,12.00,1047.50,51.30,120.30,750.40,125.50
INDIA,1912,22.10,21.80,21.20,40.00,43.00,106.80,329.00,261.30,120.30,55.90,50.80,5.80,1078.10,44.00,104.10,817.50,112.50
INDIA,1913,6.60,40.80,25.00,26.10,73.20,214.40,272.40,193.90,108.40,67.00,17.40,23.90,1068.90,47.40,124.30,789.00,108.20
INDIA,1914,4.80,31.50,28.30,46.30,69.50,159.30,347.30,240.80,194.30,48.50,21.10,22.50,1214.30,36.40,144.10,941.70,92.20
INDIA,1915,19.40,41.60,46.20,36.40,62.70,155.90,230.00,230.10,172.00,90.30,44.10,8.50,1137.20,61.00,145.30,788.00,142.90
